term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.36987586264457034,0.24637927003807228,-1.501245874246703,0.13337639510262353,-0.8529266858458414,0.11317496055670073,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.46021342152811334,0.18812749080713898,2.4462848016184213,0.014479445552936914,0.09137094834790072,0.829055894708326,0,1
relative_time::3,0.6374567434386673,0.24798441049892894,2.5705516816808953,0.010192018070726769,0.15125888428404405,1.1236546025932905,3,2
relative_time::5,0.5703904059519954,0.3394703430212869,1.6802363378064762,0.09299485402138685,-0.09517463376709678,1.2359554456710877,5,3
