term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.28960080702309904,0.09273100422846882,-3.1230202825107587,0.001796806629193014,-0.47137929998288286,-0.10782231406331519,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.1294064723666065,0.07015157802759829,1.8446694430123405,0.06512468048561607,-0.008110081440890954,0.2669230261741039,0,1
relative_time::3,0.27108045307433704,0.09708787777621496,2.792114312140703,0.005249619345501071,0.0807612793129697,0.46139962683570435,3,2
relative_time::5,0.32611571046467897,0.13298457742349976,2.4522821877768433,0.014217745695647935,0.06542904722765946,0.5868023737016985,5,3
