term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,0.1904824251058637,0.10082080064603993,1.8893167271563966,0.058885827423989595,-0.00715285925968287,0.3881177094714102,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.5532179002056575,0.08656468203960155,6.390803814800265,1.7433146813845243e-10,0.38352835755886683,0.7229074428524482,0,1
relative_time::3,1.32402182650939,0.129035716925661,10.260894100136435,1.5044165248498078e-24,1.0710778859286438,1.576965767090136,3,2
relative_time::5,1.4939624980121693,0.15558318579463074,9.60233903414341,1.0253272178095953e-21,1.1889785366670134,1.7989464593573252,5,3
