term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.6995335941359585,0.1658533951126463,-4.217782781358445,2.5235155212587074e-5,-1.0247017631450688,-0.37436542512684823,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.6592348854685809,0.14175764405770264,4.650436241732675,3.4226919307934666e-6,0.38130826521470584,0.9371615057224559,0,1
relative_time::3,0.9861943409476732,0.21990191939348408,4.484700923337622,7.5129306312731075e-6,0.5550599379274488,1.4173287439678977,3,2
relative_time::5,0.16150714654410123,0.3132955302182573,0.515510535472968,0.6062256949430129,-0.45273251885808885,0.7757468119462914,5,3
