term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.7535843642490662,0.16816491698807273,-4.481222229619481,7.557856580713043e-6,-1.0832472366370975,-0.42392149186103484,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.9394940270585428,0.1357129359625596,6.922656417349411,4.888547142100308e-12,0.6734485456885877,1.2055395084284979,0,1
relative_time::3,1.9749525886783101,0.18770534187240767,10.521557719016757,1.1414983064943037e-25,1.6069835540393895,2.3429216233172308,3,2
relative_time::5,2.250652381205931,0.24697051151292923,9.11304093520536,1.0684652815560833e-19,1.7665025972990522,2.73480216511281,5,3
