term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.3450237763868842,0.08667214115444775,-3.9807921183354615,6.92691694853452e-5,-0.5149227292021372,-0.1751248235716312,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.8558576851412449,0.07083620565632467,12.08220679257725,2.488794772687363e-33,0.7170011044440013,0.9947142658384885,0,1
relative_time::3,1.5033004120287239,0.10223292570815498,14.704659987137664,2.4198390388141876e-48,1.3028984513790678,1.70370237267838,3,2
relative_time::5,1.7750240672155968,0.1315150499398221,13.49673720253159,4.407966522707756e-41,1.5172218603403276,2.032826274090866,5,3
