term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-1.2995435190478146,0.17042236342019365,-7.625428335620825,2.8239285737859338e-14,-1.633634740813587,-0.9654522972820423,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.15431585547313656,0.10141352597556058,1.5216496417876724,0.12815125550273537,-0.044492376714161286,0.3531240876604344,0,1
relative_time::3,0.5738319059085351,0.16581308368684422,3.4607154824541957,5.426134254812114e-4,0.24877658686509563,0.8988872249519745,3,2
relative_time::5,1.0219436122897485,0.2297691161765365,4.44769788601427,8.841177459776058e-6,0.5715106807959416,1.4723765437835554,5,3
