term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-1.5286136279919094,0.14544612858393272,-10.50982685393232,1.2504354470546075e-25,-1.8137360827102385,-1.2434911732735803,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,1.26238501601297,0.11330203084648607,11.141768656586452,1.4265601273469662e-28,1.0402756104616238,1.484494421564316,0,1
relative_time::3,2.554375115310674,0.20754252208777368,12.307719351268076,1.9917857314844337e-34,2.1475232181015236,2.961227012519825,3,2
relative_time::5,3.112312797644681,0.24096079876463353,12.916261954645726,1.0612026295077742e-37,2.6399500396698965,3.584675555619466,5,3
