term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,1.1067188993534351,0.33651904504061025,3.2887259002529237,0.0010148409498940878,0.44696057265418054,1.7664772260526898,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,1.5632415889186262,0.16798926096800368,9.305604298219821,2.1050960009320402e-20,1.2338922835730117,1.8925908942642407,0,1
relative_time::3,1.7067988521732416,0.20460361348192585,8.341978047831573,9.840384068045444e-17,1.3056657226911752,2.107931981655308,3,2
relative_time::5,1.8970732330950886,0.24710561424158434,7.677175765178703,2.016587698943687e-14,1.4126133222144275,2.3815331439757497,5,3
