term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.494322397619991,0.14401234968744145,-3.4325000508140326,6.014397362083575e-4,-0.7766292993692028,-0.21201549587077934,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,1.1246444482793874,0.1135980651294095,9.900207780812169,5.838047278808353e-23,0.901958561402386,1.3473303351563888,0,1
relative_time::3,1.7351782922026158,0.1474759892483041,11.765835923847309,1.1468380794912315e-31,1.4460816300243482,2.0242749543808833,3,2
relative_time::5,2.1337718876520215,0.16750933803830254,12.738226493164907,9.096007589344883e-37,1.805403922416479,2.462139852887564,5,3
