term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-1.0013024724118575,0.26462169881234954,-3.7839016108875803,1.5884043071881857e-4,-1.5202593739306267,-0.48234557089308827,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,1.987915806660403,0.2543539170644374,7.815550197156152,8.694299058439734e-15,1.48909533471367,2.486736278607136,0,1
relative_time::3,1.4873474431854727,0.4466648814992897,3.32989564389525,8.842589929059077e-4,0.6113806424262682,2.3633142439446773,3,2
relative_time::5,2.0422592939729367,0.6396539510328749,3.1927564750834705,0.0014306834205259251,0.7878163138163619,3.2967022741295118,5,3
