term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.39030852273538325,0.0966391389047304,-4.038824508982437,5.4245968091981064e-5,-0.5797477937870723,-0.20086925168369416,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.7198766828805572,0.08143440608986242,8.839957426424615,1.1739088816092102e-18,0.5602428667783771,0.8795104989827373,0,1
relative_time::3,1.284289220131451,0.10775872684502244,11.918192221948793,1.8445211128009564e-32,1.0730525007821243,1.4955259394807778,3,2
relative_time::5,1.5739472539576458,0.1331486979766568,11.820973677366228,5.77292986173165e-32,1.3129392134054063,1.8349552945098853,5,3
