term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.7757394698230176,0.1800335618857842,-4.30886031302962,1.6917190965246665e-5,-1.1287358385136597,-0.4227431011323755,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.7067108074046521,0.13085416883929932,5.400751184874793,7.134587332665773e-8,0.45014172137163194,0.9632798934376723,0,1
relative_time::3,1.385788154830785,0.4209145418292086,3.2923266295539064,0.0010047046554210906,0.560490342364807,2.2110859672967633,3,2
relative_time::5,3.3381375729262435,0.8324103750344467,4.010206591656315,6.208904231405689e-5,1.7060094487602062,4.97026569709228,5,3
