term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-0.4091092311559755,0.11714764267308603,-3.492253209888669,4.8145633736939886e-4,-0.6387478670164077,-0.1794705952955432,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.4203490556226468,0.08074374752072189,5.20596415858416,1.9761537351808324e-7,0.26207114569780954,0.578626965547484,0,1
relative_time::3,0.799857804810937,0.10582846903015282,7.558058924418913,4.5270301748991056e-14,0.5924075761187501,1.007308033503124,3,2
relative_time::5,0.9947166371207659,0.1235040832876236,8.054119431858872,9.11583123357484e-16,0.7526177902109003,1.2368154840306316,5,3
