term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,-1.0413021330911565,0.16931385807547977,-6.150129380590608,8.153170457394503e-10,-1.3732066225457291,-0.7093976436365839,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.4461757882330099,0.1252687588242135,3.561748295591538,3.707581030600284e-4,0.20061252533917445,0.6917390511268453,0,1
relative_time::3,1.1708624255611628,0.19284653916513717,6.071472325248923,1.3313719036851553e-9,0.7928270251974662,1.5488978259248594,3,2
relative_time::5,2.0918613151312897,0.3133740805975379,6.675285049556599,2.649724570309173e-11,1.477556819260347,2.7061658110022324,5,3
