term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time
relative_time::-5,0.30918635720911436,0.09429967273337596,3.278763841347696,0.001047446201298977,0.1243321433574684,0.4940405710607603,-5,-1
NA,0,NA,NA,NA,0,0,-3,0
relative_time::0,0.19053236754446073,0.08181785675875378,2.3287381886115646,0.019899746290648775,0.03014606765847011,0.35091866743045136,0,1
relative_time::3,0.22948694607846923,0.12931288659807144,1.7746641662385703,0.07599447992562763,-0.02400313824621439,0.4829770304031529,3,2
relative_time::5,0.09231066675333066,0.16993148870592467,0.5432228450200839,0.5869927501698713,-0.24080344534109616,0.4254247788477575,5,3
