="",="(1)",=""
="",="",=""
="Effect_1",="0.935***",="(0.208)"
="Effect_2",="0.859",="(0.776)"
="Effect_3",="-0.321",="(1.493)"
="Placebo_1",="-0.965***",="(0.135)"
="Av_tot_eff",="0.935",="(0.706)"
="R-sq",="",=""
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
