="",="(1)",=""
="",="",=""
="Effect_1",="0.433**",="(0.151)"
="Effect_2",="-0.0945",="(0.338)"
="Effect_3",="-2.418**",="(0.771)"
="Placebo_1",="-0.208",="(0.164)"
="Av_tot_eff",="-0.284",="(0.371)"
="R-sq",="",=""
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
