="",="(1)",=""
="",="",=""
="Effect_1",="1.995***",="(0.252)"
="Effect_2",="1.641**",="(0.503)"
="Effect_3",="2.375***",="(0.720)"
="Placebo_1",="-1.517***",="(0.280)"
="Av_tot_eff",="4.060***",="(0.766)"
="R-sq",="",=""
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
