="",="(1)",=""
="",="",=""
="Effect_1",="0.258",="(0.134)"
="Effect_2",="1.481***",="(0.277)"
="Effect_3",="3.669***",="(0.981)"
="Placebo_1",="-0.486**",="(0.150)"
="Av_tot_eff",="0.720***",="(0.161)"
="R-sq",="",=""
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
