K_buffer_km,estimate,std.error,statistic,p.value,n_obs
0,1.395469278423852,0.36754817062806017,3.796697657450716,1.5074235747313664e-4,2166
10,1.3680269612863203,0.36993492413015056,3.6980205761946956,2.2294226518925812e-4,2110
20,1.4862795522494554,0.39119354133828027,3.7993458357335497,1.4957169971327076e-4,1969
30,1.1950468123504927,0.43003719236476035,2.778938272243314,0.005510284792270399,1841
