term,estimate,std.error,statistic,p.value
(Intercept),31.626372847708524,2.6378958006933964,11.989242652949077,4.2855246125935205e-32
treated,2.3484009162116988,1.126209963337616,2.085224773941814,0.037168035637261614
"dist_band[0,10)",-2.227641630265705,1.2073947457826928,-1.8449986121329673,0.06517687362073243
"dist_band[10,20)",-1.2737588456323217,0.7977132846488676,-1.5967627343613775,0.11046736156811018
"dist_band[20,50)",-2.6605093886069335,0.5649692825576272,-4.70912219610021,2.648549565929347e-6
log_avg_min_to_city,-2.509706033800213,0.23982310182577404,-10.464821840322358,5.030649951273049e-25
log_avg_pop_dens,2.6983250220558515,0.18194004034996217,14.830847662040835,2.0059759278555952e-47
log_3yr_pre_conflict_deaths,0.48409406699097784,0.1656379556963933,2.9226034875623546,0.003507868475398622
countryBDI,-14.86284732011718,2.0190651721656843,-7.361251892713811,2.591505044878141e-13
countryBEN,-6.857755534555283,2.0986320691061544,-3.267726456441755,0.001101436072684999
countryBFA,-2.251846438709613,2.1070527150897203,-1.0687186051791435,0.28531792793232874
countryCAF,-3.174733756147366,2.594318353210629,-1.223725589505404,0.22119149485278508
countryCIV,-1.099074373839329,2.7041603106286223,-0.40643832006536357,0.6844615149417647
countryCMR,-2.49678688573007,2.060489590467057,-1.2117444792157945,0.22574499200477463
countryCOD,-12.40707058690059,2.16796480580074,-5.722911439200244,1.1955320447832956e-8
countryCOM,-9.965034375256083,2.60620726149158,-3.8235770893957652,1.3531806079450595e-4
countryETH,-12.600841416843345,2.0800412096292287,-6.057976812435109,1.626035454393145e-9
countryGAB,6.869435803969054,2.214329231828906,3.1022648778814625,0.0019457207547904705
countryGHA,-2.0975660771574565,2.1811126171158026,-0.9616954487802541,0.3363120758304027
countryGIN,-9.433485084727062,2.1326446101262917,-4.4233741711744585,1.0208060998039644e-5
countryKEN,-7.458736786379849,2.0236906805974173,-3.68570990512144,2.337794935407399e-4
countryLBR,-9.215315606186495,2.857559300529386,-3.2248904176649225,0.0012793400735864446
countryLSO,-6.7403637513434305,2.047830927933702,-3.2914649639287252,0.0010129944242223824
countryMAR,3.1446370462458333,2.184102093615783,1.4397848229886927,0.1500756514502831
countryMDG,-10.064482694125026,2.138595458681427,-4.706118052046358,2.687448928762214e-6
countryMLI,-4.043084819220622,2.0681848060695787,-1.9548953301248666,0.05072642378157214
countryMOZ,-7.15388765935267,2.032238383340459,-3.5202010344837515,4.403019014552546e-4
countryMWI,-10.186216326573593,2.012179467499426,-5.062280224552833,4.499384957611269e-7
countryNAM,3.059706388815262,2.100774826556748,1.4564656574023407,0.14541173938756638
countryNER,-7.612217596629306,2.1703375594741052,-3.5073887761836566,4.6192849325269375e-4
countryNGA,-4.395966414810749,2.0234104861716316,-2.1725529470434255,0.029924224947292122
countryRWA,-12.620024850298062,2.088382036515557,-6.042967536416104,1.7820030764462713e-9
countrySEN,-2.2592309322083577,2.1023387191184333,-1.0746274668601992,0.28266360998536405
countrySLE,-12.505567687965716,2.0905119334196707,-5.982059938547703,2.578692773882548e-9
countrySWZ,-1.4530761151844134,2.135710975216833,-0.6803711419972857,0.49634364211318327
countryTCD,-3.0570232358827707,2.331713769611473,-1.3110628224287384,0.1899782612589127
countryTGO,-8.968921567162537,2.3269886101386197,-3.854304025419469,1.195059445692416e-4
countryTZA,-8.661696666969801,2.0811387841289615,-4.161998581269563,3.280564264275376e-5
countryUGA,-10.957194497261218,2.0800000730849724,-5.26788178473953,1.5195178724594084e-7
countryZAF,5.2353843054543185,2.1662663518367617,2.4167777434271986,0.015742358716451254
countryZMB,-4.3585585587751545,2.0383677988357514,-2.138259131283677,0.03260952049882163
countryZWE,-3.6621036914333738,2.0468285643300907,-1.7891599498133586,0.07373150354842403
