term,estimate,std.error,statistic,p.value,conf.low,conf.high,relative_time,visual_time,funder,sector
relative_time::-5,-0.20010693773472263,0.29546783759043915,-0.6772545511775789,0.4982965954558408,-0.7794466049095856,0.3792327294401403,-5,-1,ch,230
NA,0,NA,NA,NA,0,0,-3,0,ch,230
relative_time::0,0.3959604865547183,0.16735544481362066,2.3659850863871745,0.01804528463065011,0.0678176724707753,0.7241033006386614,0,1,ch,230
relative_time::3,1.3539073786193174,0.30539635726394093,4.4332793971383015,9.613535428354044e-6,0.7551003293764316,1.9527144278622033,3,2,ch,230
relative_time::5,0.2792750685904039,0.39170067338552833,0.7129808232816838,0.47591298428946827,-0.4887534911403379,1.0473036283211457,5,3,ch,230
relative_time::-5,-0.36987586264457034,0.24637927003807228,-1.501245874246703,0.13337639510262353,-0.8529266858458414,0.11317496055670072,-5,-1,ch,310
NA,0,NA,NA,NA,0,0,-3,0,ch,310
relative_time::0,0.46021342152811334,0.18812749080713895,2.4462848016184213,0.01447944555293691,0.09137094834790072,0.829055894708326,0,1,ch,310
relative_time::3,0.6374567434386673,0.24798441049892897,2.5705516816808953,0.01019201807072676,0.15125888428404405,1.1236546025932903,3,2,ch,310
relative_time::5,0.5703904059519954,0.3394703430212869,1.6802363378064762,0.09299485402138684,-0.09517463376709678,1.2359554456710875,5,3,ch,310
relative_time::-5,-1.917052976610953,0.269424422351533,-7.115364523672124,1.7366807952758373e-12,-2.4455494005700102,-1.3885565526518957,-5,-1,ch,430
NA,0,NA,NA,NA,0,0,-3,0,ch,430
relative_time::0,0.5986300180489547,0.19046618125830608,3.1429727529272284,0.00170575412216109,0.22501616819233416,0.9722438679055752,0,1,ch,430
relative_time::3,1.3868567585811495,0.34680397044024047,3.998964477888311,6.677380168186398e-5,0.7065744864962231,2.067139030666076,3,2,ch,430
relative_time::5,3.137907261077472,0.3026602876204297,10.367753515825516,2.3370341771712447e-24,2.5442161684670372,3.7315983536879065,5,3,ch,430
relative_time::-5,-1.0013024724118575,0.26462169881234954,-3.78390161088758,1.5884043071881857e-4,-1.5202593739306267,-0.4823455708930882,-5,-1,ch,700
NA,0,NA,NA,NA,0,0,-3,0,ch,700
relative_time::0,1.987915806660403,0.2543539170644374,7.815550197156152,8.694299058439734e-15,1.48909533471367,2.486736278607136,0,1,ch,700
relative_time::3,1.4873474431854727,0.4466648814992897,3.32989564389525,8.842589929059077e-4,0.6113806424262682,2.3633142439446773,3,2,ch,700
relative_time::5,2.0422592939729367,0.6396539510328749,3.1927564750834705,0.00143068342052592,0.7878163138163619,3.2967022741295118,5,3,ch,700
relative_time::-5,-0.494322397619991,0.14401234968744145,-3.4325000508140326,6.014397362083575e-4,-0.7766292993692028,-0.21201549587077936,-5,-1,wb,110
NA,0,NA,NA,NA,0,0,-3,0,wb,110
relative_time::0,1.1246444482793874,0.1135980651294095,9.900207780812169,5.838047278808353e-23,0.901958561402386,1.3473303351563888,0,1,wb,110
relative_time::3,1.7351782922026158,0.1474759892483041,11.765835923847307,1.1468380794912315e-31,1.4460816300243482,2.0242749543808833,3,2,wb,110
relative_time::5,2.1337718876520215,0.16750933803830254,12.738226493164907,9.096007589344884e-37,1.805403922416479,2.462139852887564,5,3,wb,110
relative_time::-5,0.1904824251058637,0.10082080064603992,1.8893167271563969,0.05888582742398959,-0.00715285925968287,0.3881177094714102,-5,-1,wb,120
NA,0,NA,NA,NA,0,0,-3,0,wb,120
relative_time::0,0.5532179002056575,0.08656468203960155,6.390803814800265,1.7433146813845243e-10,0.3835283575588668,0.7229074428524482,0,1,wb,120
relative_time::3,1.32402182650939,0.129035716925661,10.260894100136436,1.5044165248498078e-24,1.0710778859286438,1.576965767090136,3,2,wb,120
relative_time::5,1.4939624980121693,0.15558318579463074,9.60233903414341,1.0253272178095951e-21,1.1889785366670134,1.7989464593573252,5,3,wb,120
relative_time::-5,-0.3450237763868842,0.08667214115444775,-3.9807921183354615,6.92691694853452e-5,-0.5149227292021372,-0.1751248235716312,-5,-1,wb,140
NA,0,NA,NA,NA,0,0,-3,0,wb,140
relative_time::0,0.8558576851412449,0.07083620565632467,12.08220679257725,2.4887947726873627e-33,0.7170011044440013,0.9947142658384884,0,1,wb,140
relative_time::3,1.503300412028724,0.10223292570815498,14.704659987137664,2.4198390388141876e-48,1.3028984513790678,1.70370237267838,3,2,wb,140
relative_time::5,1.7750240672155968,0.1315150499398221,13.49673720253159,4.4079665227077555e-41,1.5172218603403276,2.032826274090866,5,3,wb,140
relative_time::-5,-0.4091092311559755,0.11714764267308604,-3.492253209888669,4.8145633736939886e-4,-0.6387478670164077,-0.1794705952955432,-5,-1,wb,150
NA,0,NA,NA,NA,0,0,-3,0,wb,150
relative_time::0,0.4203490556226468,0.08074374752072189,5.20596415858416,1.9761537351808324e-7,0.26207114569780954,0.578626965547484,0,1,wb,150
relative_time::3,0.799857804810937,0.10582846903015282,7.558058924418913,4.5270301748991056e-14,0.5924075761187501,1.007308033503124,3,2,wb,150
relative_time::5,0.994716637120766,0.1235040832876236,8.054119431858872,9.11583123357484e-16,0.7526177902109003,1.2368154840306316,5,3,wb,150
relative_time::-5,-0.3903085227353833,0.0966391389047304,-4.038824508982437,5.4245968091981064e-5,-0.5797477937870723,-0.20086925168369416,-5,-1,wb,160
NA,0,NA,NA,NA,0,0,-3,0,wb,160
relative_time::0,0.7198766828805572,0.08143440608986242,8.839957426424615,1.1739088816092102e-18,0.5602428667783771,0.8795104989827373,0,1,wb,160
relative_time::3,1.284289220131451,0.10775872684502244,11.918192221948791,1.8445211128009564e-32,1.0730525007821243,1.4955259394807778,3,2,wb,160
relative_time::5,1.5739472539576458,0.1331486979766568,11.820973677366228,5.77292986173165e-32,1.3129392134054063,1.8349552945098853,5,3,wb,160
relative_time::-5,-0.52432060917294665,0.09967037251974711,-5.260546297938899,1.4722612430050468e-7,-0.7196995410015926,-0.3289416773443007,-5,-1,wb,210
NA,0,NA,NA,NA,0,0,-3,0,wb,210
relative_time::0,0.860488338411571,0.08148986409483334,10.559452368336052,6.710829024543381e-26,0.7007477635626543,1.0202289132604876,0,1,wb,210
relative_time::3,0.98510967602436,0.10463756007450288,9.414493947708197,6.049551247488518e-21,0.7799938106004427,1.1902255414482772,3,2,wb,210
relative_time::5,1.0032702541575031,0.12661810175754873,7.923592600358108,2.6076262904454753e-15,0.7550670133533276,1.2514734949616786,5,3,wb,210
relative_time::-5,-1.2995435190478146,0.17042236342019365,-7.625428335620825,2.8239285737859335e-14,-1.633634740813587,-0.9654522972820424,-5,-1,wb,220
NA,0,NA,NA,NA,0,0,-3,0,wb,220
relative_time::0,0.15431585547313656,0.10141352597556058,1.5216496417876724,0.12815125550273537,-0.04449237671416128,0.3531240876604344,0,1,wb,220
relative_time::3,0.5738319059085351,0.16581308368684422,3.4607154824541957,5.426134254812114e-4,0.24877658686509563,0.8988872249519745,3,2,wb,220
relative_time::5,1.0219436122897485,0.2297691161765365,4.44769788601427,8.841177459776058e-6,0.5715106807959416,1.4723765437835554,5,3,wb,220
relative_time::-5,-0.8360807520423595,0.12531247065032902,-6.671967663739972,2.695276790259503e-11,-1.081726556519363,-0.5904349475653561,-5,-1,wb,230
NA,0,NA,NA,NA,0,0,-3,0,wb,230
relative_time::0,0.4299242202909555,0.1046845492900842,4.106854576023649,4.051543799774895e-5,0.22471463346195517,0.6351338071199559,0,1,wb,230
relative_time::3,0.8758947555876034,0.1354126213766769,6.468339115532883,1.0502211220770108e-10,0.6104499667187284,1.1413395444564784,3,2,wb,230
relative_time::5,0.9999483785291774,0.17489862753811072,5.717302603253915,1.1219390052366032e-8,0.6571005052045268,1.342796251853828,5,3,wb,230
relative_time::-5,-0.1839527202266272,0.14503344891415385,-1.268346864836055,0.20473459807020947,-0.468283563220578,0.10037812276732366,-5,-1,wb,240
NA,0,NA,NA,NA,0,0,-3,0,wb,240
relative_time::0,-0.0283509149874451,0.1302571471664924,-0.21765343095690143,0.8277082483140619,-0.28371355537916465,0.22701172540427447,0,1,wb,240
relative_time::3,0.8396875695530678,0.19561173937376977,4.292623603477166,1.799964356357172e-5,0.4562005107258461,1.2231746283802891,3,2,wb,240
relative_time::5,1.2226427652801928,0.2524723018925907,4.842680785634623,1.3205800028650265e-6,0.7276834095785027,1.7176021209818828,5,3,wb,240
relative_time::-5,-0.28960080702309904,0.09273100422846882,-3.1230202825107587,0.00179680662919301,-0.47137929998288286,-0.1078223140633152,-5,-1,wb,310
NA,0,NA,NA,NA,0,0,-3,0,wb,310
relative_time::0,0.1294064723666065,0.07015157802759829,1.8446694430123405,0.06512468048561607,-0.00811008144089095,0.2669230261741039,0,1,wb,310
relative_time::3,0.27108045307433704,0.09708787777621496,2.792114312140703,0.00524961934550107,0.0807612793129697,0.46139962683570435,3,2,wb,310
relative_time::5,0.32611571046467897,0.13298457742349976,2.4522821877768433,0.01421774569564793,0.06542904722765946,0.5868023737016985,5,3,wb,310
relative_time::-5,0.30918635720911436,0.09429967273337596,3.278763841347696,0.00104744620129897,0.1243321433574684,0.4940405710607603,-5,-1,wb,320
NA,0,NA,NA,NA,0,0,-3,0,wb,320
relative_time::0,0.1905323675444607,0.08181785675875378,2.328738188611565,0.01989974629064877,0.03014606765847011,0.35091866743045136,0,1,wb,320
relative_time::3,0.22948694607846923,0.12931288659807144,1.7746641662385705,0.07599447992562763,-0.02400313824621439,0.4829770304031529,3,2,wb,320
relative_time::5,0.09231066675333066,0.16993148870592467,0.5432228450200839,0.5869927501698713,-0.24080344534109616,0.4254247788477575,5,3,wb,320
relative_time::-5,-0.6995335941359585,0.1658533951126463,-4.217782781358445,2.523515521258707e-5,-1.0247017631450688,-0.37436542512684823,-5,-1,wb,410
NA,0,NA,NA,NA,0,0,-3,0,wb,410
relative_time::0,0.6592348854685809,0.14175764405770264,4.650436241732675,3.4226919307934666e-6,0.38130826521470584,0.937161505722456,0,1,wb,410
relative_time::3,0.9861943409476732,0.21990191939348408,4.484700923337622,7.5129306312731075e-6,0.5550599379274488,1.4173287439678977,3,2,wb,410
relative_time::5,0.16150714654410123,0.3132955302182573,0.515510535472968,0.6062256949430129,-0.4527325188580889,0.7757468119462914,5,3,wb,410
