event_time,relative_time,estimate,conf.low,conf.high
-1,-5,-2.3354225755944897,-3.24512279144713,-1.4257223597418496
0,-3,0,0,0
1,0,2.040645247677291,1.2576739698897983,2.823616525464784
2,3,3.6665436031530882,2.206573278926998,5.126513927379179
3,5,7.383704392078123,5.12355835127785,9.643850432878395
