event_time,relative_time,estimate,conf.low,conf.high
-1,-5,0.8833963998504509,-0.6513947723945605,2.418187572095462
0,-3,0,0,0
1,0,-1.5122234295415293,-2.526887415507738,-0.4975594435753208
2,3,-2.341073066868667,-4.55553796032536,-0.12660817341197417
3,5,-3.4546127199089547,-6.436726365454527,-0.4724990743633821
