funder,sector,event_time,relative_time,estimate,conf.low,conf.high
ch,310,2,3,0.16155913317092663,-0.9550862317387432,1.2782044980805964
ch,310,3,5,0.11612507426824684,-1.6318907554411348,1.8641409039776289
ch,430,-1,-5,0.8833963998504509,-0.6513947723945605,2.418187572095462
ch,430,0,-3,0,0,0
ch,430,1,0,-1.512223429541529,-2.526887415507738,-0.4975594435753208
ch,430,2,3,-2.341073066868667,-4.55553796032536,-0.12660817341197417
ch,430,3,5,-3.4546127199089547,-6.436726365454527,-0.4724990743633821
ch,700,-1,-5,-3.0001911164769295,-4.484803883301664,-1.5155783496521948
ch,700,0,-3,0,0,0
ch,700,1,0,2.473865845678017,1.3056651411072284,3.6420665502488054
ch,700,2,3,3.476344180403401,1.2811111345798951,5.671577226226907
ch,700,3,5,5.358282007352148,1.9404452917007071,8.77611872300359
wb,110,-1,-5,0.09484668816129208,-0.2283419108052668,0.418035287127851
wb,110,0,-3,0,0,0
wb,110,1,0,0.9260410528575612,0.6495437104639409,1.2025383952511812
wb,110,2,3,1.0387418268608903,0.5949094598254769,1.4825741938963035
wb,110,3,5,1.0554394636532745,0.459782735941792,1.6510961913647568
wb,120,-1,-5,0.24327251136424977,-0.00793491189800715,0.4944799346265067
wb,120,0,-3,0,0,0
wb,120,1,0,0.6815825352250757,0.4650100347452272,0.8981550357049242
wb,120,2,3,1.3786561588206,1.0243535078912638,1.7329588097499364
wb,120,3,5,1.6827891205609018,1.1963527274828816,2.169225513638922
wb,140,-1,-5,-0.4749720081763084,-0.6841879900094856,-0.2657560263431312
wb,140,0,-3,0,0,0
wb,140,1,0,1.0499044973476457,0.8575097030497185,1.2422992916455724
wb,140,2,3,1.6632951586807865,1.341201645444717,1.9853886719168552
wb,140,3,5,2.286337005543575,1.8270964485578367,2.745577562529314
wb,150,-1,-5,-0.30113265678252527,-0.5468610419549476,-0.055404271610103
wb,150,0,-3,0,0,0
wb,150,1,0,0.20922701818143627,0.00771047653557727,0.41074355982729527
wb,150,2,3,0.4278647862614808,0.10963193240932352,0.7460976401136381
wb,150,3,5,0.5488967912990648,0.14463461790626603,0.9531589646918636
wb,160,-1,-5,-0.16025579811900706,-0.3860884409108353,0.06557684467282113
wb,160,0,-3,0,0,0
wb,160,1,0,0.6252969284735298,0.4177600797374736,0.832833777209586
wb,160,2,3,0.9522766407105312,0.6208656383610209,1.2836876430600417
wb,160,3,5,1.1510856734790718,0.6847522629143068,1.6174190840438367
wb,210,-1,-5,-0.8784181999242651,-1.11054112520475,-0.6462952746437801
wb,210,0,-3,0,0,0
wb,210,1,0,1.004903715222653,0.7885651500939347,1.2212422803513714
wb,210,2,3,1.3764876789582514,1.0379574895237602,1.7150178683927426
wb,210,3,5,1.821439159425239,1.3494053242119997,2.293472994638478
wb,220,-1,-5,2.436698665188562,1.590009917109413,3.2833874132677097
wb,220,0,-3,0,0,0
wb,220,1,0,-2.3887815051653782,-2.930639942045436,-1.8469230682853204
wb,220,2,3,-4.44627832452251,-5.658751288109039,-3.23380536093598
wb,220,3,5,-7.325974709001894,-8.991083075091417,-5.660866342912371
wb,230,-1,-5,-0.1641086974101821,-0.4801975559071525,0.15198016108678827
wb,230,0,-3,0,0,0
wb,230,1,0,0.34901459776506866,0.03681857406425032,0.661210621465887
wb,230,2,3,0.2210183340028799,-0.27763744359414283,0.7196741115999026
wb,230,3,5,0.1029275035514104,-0.6404700629711096,0.8463250700739305
wb,240,-1,-5,-0.7699853878034911,-1.216684995095797,-0.32328578051118534
wb,240,0,-3,0,0,0
wb,240,1,0,0.17202006964846622,-0.1734535775250292,0.5174937168219617
wb,240,2,3,1.41530458449977,0.8907511005055653,1.9398580684939748
wb,240,3,5,2.4251442915084107,1.5908883705648804,3.259400212451941
wb,310,-1,-5,-0.417020592463593,-0.6317499074297172,-0.20229127749746892
wb,310,0,-3,0,0,0
wb,310,1,0,0.19819731079762523,-0.0198809893765639,0.4162756109718144
wb,310,2,3,0.3882897439011536,0.03176215928968962,0.7448173285126176
wb,310,3,5,0.520949173648021,-0.01284777880073717,1.054746126096779
wb,320,-1,-5,-0.0698090357543985,-0.3061812414115724,0.16656316990277542
wb,320,0,-3,0,0,0
wb,320,1,0,0.3667648113653949,0.12007661741986496,0.6134530053109247
wb,320,2,3,0.6151393635988539,0.19574464664859348,1.0345340805491143
wb,320,3,5,0.788810523426749,0.17541305828761433,1.4022079885658836
wb,410,-1,-5,-0.5618450715353493,-1.0653388337262943,-0.05835130934440447
wb,410,0,-3,0,0,0
wb,410,1,0,0.4987092192874577,0.03732515047047763,0.9600932881044376
wb,410,2,3,0.5909907443437313,-0.20166668181506853,1.3836481705025312
wb,410,3,5,-0.5489501634395328,-1.8658528289287883,0.7679525020497227
