...1,dhs_id,country,iso3,adm2,lat,lon,treated,log_treated_other_funder_n,log_other_sect_n,year_group,image_file_5k_3yr,iwi_est_post_oda,log_pc_nl_pre_oda,log_avg_min_to_city,log_avg_pop_dens,log_3yr_pre_conflict_deaths,log_disasters,log_ch_loan_proj_n,leader_birthplace,log_dist_km_to_gold,log_dist_km_to_gems,log_dist_km_to_dia,log_dist_km_to_petro,election_year,unsc_aligned_us,unsc_non_aligned_us,country_gini,corruption_control,gov_effectiveness,political_stability,reg_quality,rule_of_law,voice_accountability,landsat578,log_total_neighbor_projs,first_year_group,time,iwi_1990-1992,iwi_1993-1995,iwi_1996-1998,iwi_1999-2001,iwi_2002-2004,iwi_2005-2007,iwi_2008-2010,iwi_2011-2013,iwi_2014-2016,iwi_2017-2019
11,8436,democratic_republic_of_congo,COD,c63r7r29,-4.37445096388749,15.3591998478688,1,1.38629436111989,1.09861228866811,2005:2007,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00134.tif,47.29004,0.00364273443222242,2.52572864430826,9.80281648416156,0,-4.60517018598809,-4.60517018598809,0,1.87608479737592,5.06054364705669,5.29725192808721,5.69399921268881,0,0,0,0.422,-1.47370672225952,-1.66281060377757,-2.13052070140839,-1.68534926573436,-1.77880275249481,-1.62055881818136,0,1.79175946922805,2005,2006,30.6884765625,31.689453125,30.6559234857559,33.843994140625,39.0722662210464,41.7236328125,46.234130859375,50.6103515625,53.515625,54.736328125
12,27614,liberia,LBR,c127r11r47,6.2851965866254,-10.7481565376212,0,1.38629436111989,0.693147180559945,2011:2013,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00007.tif,57.20215,0.0062876801229527,4.11655973592366,8.55892436313462,0,2.89092715918786,0.00995033085316809,1,4.69985351750448,6.81004768020247,3.88493384781388,6.35578606663157,0,0,0,0.365,-0.657679617404938,-1.23234875996907,-0.934067408243812,-1.16339190800985,-1.03482375542323,-0.186571796735128,1,1.79175946922805,2011,2012,19.775390625,19.66552734375,21.732585132122,26.434326171875,30.107420682907097,33.5986316204071,40.61279296875,45.3938812017441,49.9267578125,52.099609375
13,54413,zambia,ZMB,c255r8r53,-8.81815207462137,31.229415442801,0,0,0,2008:2010,./data/dhs_tifs_c1_5k_3yr/zambia_2007/00314.tif,13.749187,0,5.5525719128873,3.54249332355154,0,-4.60517018598809,-4.60517018598809,0,5.62066345354453,4.34441586385966,5.6289608631764,6.7265174078621,1,0,0,0.545,-0.514095187187195,-0.860047519207001,0.278628244996071,-0.65512098868688,-0.532237052917481,-0.281556472182274,0,0,2008,2009,13.76953125,17.999267578125,16.581217944622,16.97998046875,17.0239254832268,17.2753900289536,17.51708984375,20.41015625,22.75390625,24.76806640625
14,8420,democratic_republic_of_congo,COD,c63r7r29,-4.49594788214503,15.2651389381768,0,1.6094379124341,0.693147180559945,2002:2004,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00118.tif,35.004884,0.01457313281333,3.6652695884748,6.3188130316432,0,2.48573963609189,-4.60517018598809,0,2.86852468762333,4.96440848986607,5.34865877884728,5.65277997068993,0,0,0,0.422,-1.45055828491847,-1.7900401353836,-2.45345538854599,-1.86238008737564,-1.82806281248728,-1.71207104126612,0,2.77258872223978,2002,2003,22.4365234375,23.93798828125,22.59521484375,21.319580078125,25.117188692092903,28.432616591453602,31.89697265625,28.9713531732559,33.36181640625,35.25390625
15,27606,liberia,LBR,c127r11r47,6.32881058909938,-10.7967160320131,0,2.30258509299405,0,2008:2010,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00018.tif,48.51888,0.00781524130256882,3.82984839723913,8.56960935304324,0,1.79342474854712,0.00995033085316809,1,4.64549526185103,6.80430542881337,3.99052431247689,6.36633282405665,0,0,0,0.365,-0.800501296917598,-1.27490746974945,-1.309863169988,-1.3504166603088399,-1.03667662541071,-0.242781187097232,0,2.30258509299405,2008,2009,21.5576171875,25.13427734375,29.0934234857559,32.098388671875,34.5898449420929,36.5673840045929,42.17529296875,49.3489593267441,56.3720703125,58.984375
16,8429,democratic_republic_of_congo,COD,c63r7r29,-4.39765334617698,15.3453356640714,0,1.6094379124341,0.693147180559945,2002:2004,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00130.tif,40.41992,0.00295693218954673,2.71866038021423,10.0894604931752,0,2.48573963609189,-4.60517018598809,0,1.96568949836439,5.04513421444965,5.30486097229923,5.68755395594396,0,0,0,0.422,-1.45055828491847,-1.7900401353836,-2.45345538854599,-1.86238008737564,-1.82806281248728,-1.71207104126612,0,2.77258872223978,2002,2003,30.6884765625,31.689453125,30.6559234857559,33.843994140625,39.0722662210464,41.7236328125,46.234130859375,50.6103515625,53.515625,54.736328125
17,27604,liberia,LBR,c127r11r47,6.36246501470408,-10.7680007620117,0,1.38629436111989,0.693147180559945,2011:2013,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00022.tif,54.711914,0.00391660065734573,4.02832346112431,8.62167382644026,0,2.89092715918786,0.00995033085316809,1,4.61651170638488,6.8004311792975,3.94621643657206,6.36301795168064,0,0,0,0.365,-0.657679617404938,-1.23234875996907,-0.934067408243812,-1.16339190800985,-1.03482375542323,-0.186571796735128,1,1.79175946922805,2011,2012,20.81298828125,18.267822265625,21.590168774128,23.944091796875,29.794922471046398,32.470703125,35.589599609375,40.0797516107559,43.3349609375,44.53125
18,27614,liberia,LBR,c127r11r47,6.2851965866254,-10.7481565376212,0,2.19722457733622,0,2008:2010,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00007.tif,53.059894,0.0061571959948806,4.11655973592366,8.41436999296268,0,1.79342474854712,0.00995033085316809,1,4.69985351750448,6.81004768020247,3.88493384781388,6.35578606663157,0,0,0,0.365,-0.800501296917598,-1.27490746974945,-1.309863169988,-1.3504166603088399,-1.03667662541071,-0.242781187097232,0,2.30258509299405,2008,2009,19.775390625,19.66552734375,21.732585132122,26.434326171875,30.107420682907097,33.5986316204071,40.61279296875,45.3938812017441,49.9267578125,52.099609375
19,8439,democratic_republic_of_congo,COD,c63r7r29,-4.43017568359924,15.3700418729244,0,2.39789527279837,0.693147180559945,2008:2010,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00120.tif,39.746094,0.00219490075876053,3.10009228887823,9.51378125767841,2.19722457733622,2.48573963609189,-4.60517018598809,0,2.44682742011555,5.0503498548051,5.29303809168608,5.69378460059725,0,0,0,0.422,-1.4549872080485,-1.62452828884125,-2.18459788958232,-1.37895504633585,-1.59365403652191,-1.32130348682403,0,1.6094379124341,2008,2009,22.35107421875,23.5595703125,21.622721850872,20.0897216796875,21.5893551707268,21.8505859375,27.1484375,26.4485687017441,31.73828125,35.888671875
20,27624,liberia,LBR,c127r11r47,6.28088352716664,-10.7076378287504,0,2.56494935746154,1.09861228866811,2005:2007,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00005.tif,52.62451,0.00266133451046573,4.37162792745298,8.37360069373039,7.434847875212,-4.60517018598809,0.00995033085316809,1,4.71372945226188,6.81094705727778,3.79409562676193,6.34846931074451,1,0,0,0.365,-1.17188052336375,-1.46088719367981,-1.90479938189189,-1.69760799407959,-1.57602087656657,-1.33577477931976,0,2.39789527279837,2005,2006,15.8447265625,12.646484375,12.607829272747,13.3392333984375,13.972167670726801,16.0009771585464,17.852783203125,21.647135913372,24.725341796875,30.3955078125
